"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Unit;Portion
384309379372;"Череп и кости";GLAZA;"24 LEFT";Фарфор;Глаза;"Фарфоровая тарелка с черно-золотым принтом";"Фарфоровая тарелка с черно-золотым принтом черепов, надглазурное деколирование";https://static.tildacdn.com/stor6236-3139-4232-b033-656265663733/41955683.jpg;10000.00;24;10000;;;JPyMHzjo4ee47hct7aaA;;480;240;240;30;PCE;1
328805053272;"Череп и кости";Cube-3-34;"30 LEFT";Фарфор;Кубы;"Фарфоровое блюдо, надглазурное деколирование";"Фарфоровое блюдо, надглазурное деколирование, лимитированная серия 33";https://static.tildacdn.com/stor3430-3530-4262-b031-653763633465/18606653.jpg;20000.00;3;;;;rrfs9C4INhI4Vdyu2Kxx;;480;240;240;30;;0
127249318642;"Череп и кости";AlanPo-Raven-02-33;"33 LEFT";Фарфор;"Алан По и ворон";"Фарфоровое блюдо, надглазурное деколирование";"Фарфоровое блюдо, надглазурное деколирование, лимитированная серия";https://static.tildacdn.com/stor6139-3164-4934-a437-626537323130/31593506.jpg;25000.00;33;25000;;;AAgaOBAkFNE08hoNjrU7;;0;0;0;0;;0
558459669622;"Череп и кости";KAHELET;"30 LEFT";Фарфор;Кахелет;"Фарфоровое блюдо, надглазурное деколирование";"Фарфоровое блюдо, надглазурное деколирование, лимитированная серия 33";https://static.tildacdn.com/stor3561-3264-4432-a232-313934353365/71076689.jpg;0;;;;;caYvyfjjNpzY1Zk3Sf6m;;0;0;0;0;;0
984054425142;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;Item-00;"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6236-6537-4234-a566-303462353134/0362e8578772b4606fa0baf9ce1dc613.png;0;;;;;o5hjUnVBP7yOGJTDx08O;;0;0;0;0;;0
955034104382;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 01";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3461-3934-4763-b135-333933633166/a5fb3e5a9ebc1b6576bfc2d59de0d922.png;0;;;;;ICCAFfznij1ucoXyPBED;;0;0;0;0;;0
568859093192;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 02";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3835-6364-4465-b562-343266323734/9966505098e31f988806f4d9941630f6.png;0;;;;;yjXSsfnA69Pjv9lzBlCD;;0;0;0;0;;0
672161942842;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 03";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3235-6236-4165-b439-646530346135/45446c3eebc414481ca9abcde013ece5.png;0;;;;;amSYRXXHD6nxtGJF3oza;;0;0;0;0;;0
721049638932;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 04";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6231-3539-4736-b831-343433393536/2bba595c1d32c6a1cb53d173b40a69f5.png;0;;;;;xVsOGVbvpc1jciMUb8ao;;0;0;0;0;;0
264996561692;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 05";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3334-6434-4937-b932-376235343365/ee91e534af360479270cc17ae6cdc641.png;0;;;;;0gRye69bmJoS05s8tKnP;;0;0;0;0;;0
